Technique,Model,Perplexity,VRAM_GB,Tokens_per_sec
FP16,Qwen2.5-0.5B,16.7764,0.94,31.91
INT8,Qwen2.5-0.5B,16.882,0.6,9.6
NF4,Qwen2.5-0.5B,18.7531,0.45,12.04
GGUF Q4_K_M,Qwen2.5-0.5B,16.3136,0.68,180.08
Pruning 20%,Qwen2.5-0.5B,16.2201,0.93,34.47
Pruning 40%,Qwen2.5-0.5B,95.4381,0.93,35.74
SmolLM2-135M,SmolLM2,16.5459,0.26,31.1
Distilled SmolLM2,SmolLM2,20.3963,0.26,31.7
Distilled SmolLM2 INT8,SmolLM2,20.42,0.2185,10.5
Distilled SmolLM2 NF4,SmolLM2,22.8757,0.1705,18.7
LoRA Distilled SmolLM2,SmolLM2,16.6934,0.2636,24.77
